ticker	lastOpen	lastClose	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price
CMI	201.34	200.53	S&P 500	28.40B	1.95B	24.31B	59.32	19.79	5.80	2.89%	59900	Yes	Yes	2.20	14.92	9.86	1.83	1.17	3.38	10.13	55.58	1.10	1.70	0.49	0.42	1.87%	13.44	20.34	4.35	21.60%	8.15%	12.20%	6.50%	4.80%	-28.20%	May 03 BMO	0.21%	0.40%	-8.98%	84.70%	8.30%	23.70%	16.80%	23.60%	10.30%	8.00%	42.10%	142.20M	140.51M	1.45%	2.17	242.47	184.27 - 247.48	-18.97%	8.82%	53.25	1.09	938.11K	3.62%	-6.84%	1.02%	-11.64%	-15.56%	-8.07%	1.01	5.96	2.60% 2.81%	201.28	242.47
GIGM	1.57	1.56	-	17.39M	-3.60M	5.60M	4.53	3.61	-	-	123	No	Yes	-	-	-	-	3.11	0.34	0.43	-	12.30	12.30	0.00	0.00	-2.12%	-0.33	-	-	-164.90%	10.00%	10.80%	-9.30%	7.10%	-25.60%	May 03 BMO	-3.65%	45.56%	0.00%	4.50%	-6.50%	-7.10%	-7.80%	54.00%	-69.60%	-65.30%	-	11.05M	6.02M	1.16%	4.22	1.50	1.49 - 3.34	-53.29%	4.70%	44.70	0.90	16.48K	0.65%	-7.14%	-14.29%	-30.36%	-44.29%	-30.67%	0.26	0.05	1.96% 3.18%	1.57	1.50
MATX	72.54	72.86	-	2.94B	1.18B	4.38B	46.72	9.74	1.24	1.70%	4259	Yes	Yes	2.00	2.61	6.38	0.17	0.67	1.56	7.48	2.67	1.40	1.40	0.31	0.28	-2.69%	27.93	11.42	8.26	383.60%	15.00%	63.30%	15.10%	63.70%	313.50%	May 03 AMC	-12.43%	2.30%	-6.38%	88.30%	33.90%	77.40%	41.30%	38.00%	34.30%	26.90%	4.00%	40.90M	39.83M	3.91%	3.17	118.00	62.34 - 125.34	-41.87%	16.88%	40.64	0.42	490.72K	-0.03%	-22.93%	-18.42%	-18.76%	16.71%	-19.07%	1.11	3.40	3.62% 4.57%	72.46	118.00
CTOS	5.14	5.17	-	1.28B	-156.90M	1.46B	3.47	0.10	-	-	1800	Yes	Yes	1.30	-	21.45	-	0.88	1.49	53.68	-	0.50	1.50	1.56	1.55	-1.23%	-0.64	0.24	-0.03	-73.40%	-	-	-	368.10%	97.70%	May 10 AMC	-10.27%	0.90%	-69.63%	91.90%	-5.80%	-18.20%	-5.00%	18.80%	-6.20%	-10.80%	-	247.06M	208.25M	1.12%	5.53	10.08	4.53 - 11.36	-54.49%	14.00%	43.67	0.66	421.19K	-7.68%	-13.83%	-35.86%	-36.17%	-41.98%	-35.37%	0.42	0.30	6.01% 6.18%	5.16	10.08
ETACU	10.05	10.05	-	-	-	-	-0.48	-	-	-	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	0.50%	-0.02	-	-	-	-	-	-	-	-	-	0.70%	-	-	5.39%	-	-	-	-	-	-	-	-	61.20M	0.00%	0.02	-	9.79 - 10.96	-8.30%	2.66%	59.14	0.04	6.92K	0.50%	0.40%	1.11%	0.30%	-4.56%	0.30%	-	0.07	0.60% 0.31%	10.00	-
DWACU	25.96	27.47	-	-	-	-	-0.24	-	-	-	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-18.96%	-	-	-	-	-	-	-	-	-	-	-37.30%	3.94%	-	4.09%	-	-	-	-	-	-	-	-	30.03M	0.03%	1.62	-	9.98 - 143.53	-80.86%	175.25%	33.02	0.13	5.04K	5.61%	-44.21%	-62.56%	-52.84%	-	-54.32%	-	2.36	2.50% 6.18%	26.12	-
MSGS	150.34	150.14	-	3.67B	73.60M	793.10M	-7.41	2.01	-	-	415	Yes	Yes	1.70	49.55	111.88	2.93	4.63	-	74.58	44.53	0.60	0.60	-	-	-1.71%	3.03	1.34	-0.80	88.10%	16.90%	28.60%	-17.90%	84.60%	347.20%	May 05 BMO	-4.85%	1.10%	2.28%	80.10%	5.50%	-35.40%	-2.80%	45.40%	5.30%	9.30%	0.00%	24.27M	15.59M	2.82%	3.90	227.00	145.41 - 203.37	-26.17%	3.25%	41.95	0.53	112.89K	-0.57%	-7.78%	-14.19%	-11.30%	-11.36%	-13.58%	0.91	3.94	2.42% 2.61%	151.49	227.00
TATT	5.9	5.94	-	53.52M	-6.00M	79.60M	8.47	1.42	-	-	413	No	Yes	-	-	-	-	0.67	0.70	4.18	-	1.50	3.40	0.27	0.21	0.10%	-0.67	-	-	-14.50%	-	-	-4.00%	8.70%	-461.90%	-	0.64%	53.70%	0.00%	66.40%	-5.00%	-7.40%	-3.80%	13.70%	-6.80%	-7.20%	-	8.89M	3.48M	0.77%	3.17	-	5.25 - 7.44	-20.16%	13.14%	51.33	0.69	8.48K	4.21%	-2.30%	-6.97%	-7.62%	-0.34%	-5.85%	0.62	0.27	2.99% 4.76%	6.02	-
PSA	314.79	315.83	S&P 500	55.25B	1.81B	3.62B	30.53	5.38	8.00	2.53%	5800	Yes	Yes	2.20	30.69	26.96	1.81	15.26	10.34	58.75	59.52	-	-	1.39	1.39	2.28%	10.29	11.71	2.54	56.90%	17.00%	7.70%	5.90%	26.90%	19.30%	May 03 AMC	-2.75%	8.30%	-0.03%	80.90%	11.20%	35.40%	13.20%	73.70%	49.00%	50.00%	77.30%	175.17M	151.60M	1.81%	3.53	373.00	292.32 - 421.76	-25.12%	8.04%	49.47	0.65	776.90K	1.01%	-4.48%	-22.70%	-12.70%	2.82%	-15.68%	0.33	7.86	2.05% 2.48%	314.79	373.00
AGIL	5.2	5.34	-	265.50M	-22.60M	165.70M	1.94	0.05	-	-	2630	No	Yes	1.50	-	-	-	1.60	2.75	106.20	-	0.80	0.80	0.65	0.52	4.24%	-0.55	-0.28	-0.15	13.80%	-	-	-	18.80%	-23.30%	May 12 AMC	12.80%	2.60%	0.00%	47.20%	-10.10%	-32.70%	-0.80%	29.70%	-7.30%	-13.60%	-	46.02M	37.20M	0.73%	4.53	8.00	3.95 - 36.13	-85.22%	35.19%	60.54	0.25	59.49K	3.29%	9.88%	6.80%	-4.13%	-46.71%	13.14%	-	0.32	6.18% 6.42%	5.26	8.00
FLYW	20.72	21.33	-	2.27B	-29.60M	220.70M	4.48	3.44	-	-	665	Yes	Yes	1.60	-	5332.50	-	10.27	4.76	6.20	269.95	4.50	4.50	0.05	0.05	18.68%	-0.46	0.00	-0.09	-260.50%	-	-	-	43.60%	-11.50%	May 10 AMC	3.07%	2.70%	-75.63%	79.80%	-4.80%	-6.20%	-3.00%	64.50%	-6.30%	-13.40%	-	106.74M	92.60M	2.24%	2.14	30.33	14.56 - 57.41	-62.85%	46.50%	59.55	0.43	967.83K	20.99%	10.81%	-30.81%	-34.89%	-36.59%	-43.96%	-	1.44	7.97% 8.18%	21.15	30.33
KIO	11.74	11.74	-	238.80M	 Opportunities Fund Stock Quote	-	-	-	1.26	10.73%	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-1.26%	-	-	-	-	-	-	-	-	-	-	-6.29%	-	-	35.74%	-	-	-	-	-	-	-	20.34M	-	-	0.09	-	11.48 - 17.05	-31.14%	2.26%	38.04	0.77	90.85K	0.86%	-10.18%	-19.04%	-29.70%	-28.81%	-30.61%	-	0.18	1.22% 1.53%	11.79	-
GIM	4.39	4.41	-	450.88M	 Fund Stock Quote	35.50M	7.85	0.00	0.43	9.71%	-	No	Yes	-	-	-	-	12.70	0.56	-	-	-	-	0.00	0.00	-0.08%	-0.44	-	-	10.70%	-	-25.30%	17.20%	-36.00%	-165.90%	-	-2.53%	-	-	64.60%	-5.00%	-5.20%	5.00%	81.80%	78.60%	-	-	71.45M	-	-	0.26	-	4.20 - 5.66	-22.15%	5.00%	45.68	0.64	203.15K	0.00%	-5.97%	-11.27%	-14.86%	-20.40%	-15.03%	0.30	0.08	2.11% 1.83%	4.39	-
GNE	9.57	8.75	-	249.90M	43.40M	326.90M	4.67	3.11	0.30	3.43%	186	Yes	Yes	3.00	5.44	-	-	0.76	1.87	2.81	2.71	1.80	2.10	0.00	0.00	3.22%	1.61	-	-	119.80%	-	22.70%	-	-8.40%	-	May 09 BMO	13.48%	2.60%	0.00%	28.90%	22.90%	50.20%	-	40.60%	19.60%	14.50%	8.20%	25.76M	21.36M	0.64%	1.76	-	4.74 - 9.57	-8.62%	84.60%	54.35	1.26	78.09K	-4.48%	-0.79%	28.49%	57.94%	48.31%	57.09%	0.32	0.49	6.78% 6.03%	9.54	-
ATEN	13.99	14.24	-	1.07B	98.60M	257.90M	2.42	2.19	0.20	1.40%	590	Yes	Yes	1.70	11.55	17.39	0.58	4.15	5.88	6.49	20.44	2.10	2.30	0.00	0.00	0.13%	1.23	0.82	0.16	432.50%	20.00%	40.50%	1.90%	14.40%	140.00%	Aug 02 AMC	-3.33%	1.90%	-42.85%	86.40%	27.70%	54.50%	46.30%	79.10%	14.50%	38.20%	7.80%	76.80M	63.48M	6.86%	3.51	20.67	10.50 - 19.05	-25.25%	35.62%	49.07	0.39	1.24M	-0.97%	-12.37%	8.37%	-6.44%	23.29%	-14.11%	0.95	0.64	5.29% 4.33%	14.10	20.67
XRAY	35.48	35.21	S&P 500	7.64B	369.00M	4.19B	23.15	1.56	0.50	1.42%	15000	Yes	Yes	2.60	20.95	13.08	2.32	1.82	1.52	22.54	15.90	1.10	1.50	0.42	0.38	-3.08%	1.68	2.69	0.58	604.90%	9.04%	-0.30%	2.60%	0.50%	3.50%	May 10 BMO	-7.66%	0.40%	-0.79%	-	4.50%	8.30%	6.90%	54.80%	14.70%	10.00%	22.00%	217.80M	214.56M	1.66%	1.40	45.00	33.78 - 66.98	-47.43%	4.25%	37.75	0.60	2.53M	-1.46%	-13.10%	-27.06%	-37.42%	-43.13%	-36.89%	0.95	1.09	2.75% 2.80%	35.46	45.00
WTER	0.49	0.47	-	56.90M	-33.20M	55.40M	0.08	0.03	-	-	26	No	Yes	2.00	-	-	-	1.03	5.87	17.24	-	0.90	1.50	0.81	0.00	11.87%	-0.36	-0.21	-0.10	31.50%	-	36.00%	45.40%	57.30%	-71.50%	Jul 14 AMC	-1.85%	8.30%	0.00%	9.00%	-130.20%	-325.10%	-100.90%	30.50%	-59.00%	-59.90%	-	105.58M	100.67M	1.86%	2.22	3.50	0.33 - 2.35	-80.00%	42.38%	56.71	1.06	842.97K	19.59%	2.17%	-45.23%	-58.77%	-66.19%	-60.17%	2.02	0.04	9.42% 8.42%	0.47	3.50
TINV	10.28	10.28	-	354.15M	25.60M	-	7.42	0.01	-	-	-	No	Yes	-	13.84	-	-	-	1.39	1770.73	-	0.20	0.20	0.00	0.00	0.23%	0.74	-	-	185.50%	-	-	-	-	43.70%	-	0.27%	0.22%	0.00%	62.40%	9.00%	10.40%	-	-	-	-	0.00%	34.50M	27.54M	0.12%	0.18	-	9.95 - 10.30	-0.19%	3.32%	61.54	0.04	184.84K	0.10%	0.19%	0.29%	1.45%	1.48%	1.46%	-	0.02	0.10% 0.12%	10.27	-
HOOD	8.92	9	-	7.86B	-2633.60M	1.59B	8.22	7.13	-	-	3800	Yes	Yes	2.70	-	-	-	4.94	1.09	1.26	5.75	1.60	1.60	0.00	0.00	12.69%	-3.11	-0.86	-0.36	80.80%	-	-	-	-42.70%	73.70%	Apr 28 AMC	-0.42%	0.40%	-15.85%	68.70%	-13.90%	-53.10%	-22.50%	91.10%	-	-	-	867.77M	555.03M	10.19%	2.69	12.54	6.81 - 85.00	-89.41%	32.16%	55.16	0.47	21.01M	9.49%	3.21%	-28.06%	-43.68%	-	-49.32%	-	0.61	6.32% 7.05%	9.02	12.54
GHRS	11.71	12.85	-	609.22M	-13.80M	-	5.18	5.71	-	-	9	No	Yes	1.50	-	-	-	-	2.48	2.25	-	67.30	67.30	0.00	0.00	22.19%	-0.41	-1.24	-0.16	-309.50%	-	-	-	-	-387.20%	May 18 BMO	17.01%	41.32%	0.00%	63.80%	-4.90%	-4.90%	-	-	-	-	-	52.02M	30.53M	12.90%	38.15	46.00	8.72 - 30.43	-57.77%	47.36%	65.27	0.93	103.23K	28.76%	18.76%	-34.87%	-37.68%	-35.04%	-44.92%	-	1.02	10.50% 10.11%	11.71	46.00
OXUS	10.01	10	-	215.80M	-	-	8.08	0.05	-	-	-	No	Yes	-	-	-	-	-	1.24	215.80	-	2.30	2.30	0.00	0.00	0.11%	-	-	-	-	-	-	-	-	-	-	0.09%	7.06%	0.00%	81.50%	-	-	-	-	-	-	-	21.86M	17.10M	0.00%	0.01	-	9.76 - 10.66	-6.19%	2.46%	52.36	3.71	26.94K	-0.20%	0.40%	0.50%	0.81%	-	1.21%	-	0.02	0.00% 0.08%	10.01	-
RSG	129.93	129.86	S&P 500	41.04B	1.35B	11.67B	28.38	0.12	1.84	1.42%	35000	Yes	Yes	2.20	30.74	24.93	2.90	3.52	4.58	1052.23	43.25	0.70	0.80	1.07	1.07	1.89%	4.22	5.21	1.18	33.60%	10.61%	17.80%	3.80%	14.30%	19.90%	Aug 04 AMC	-0.50%	34.80%	0.90%	95.80%	5.50%	15.10%	9.70%	40.30%	18.40%	11.50%	41.80%	316.60M	315.05M	0.49%	1.16	146.77	112.08 - 145.98	-11.04%	15.86%	51.01	0.63	1.32M	-0.77%	-4.07%	-2.68%	-3.21%	15.53%	-6.88%	0.73	2.90	2.32% 2.21%	129.91	146.77
BRFS	2.91	2.93	-	3.13B	-199.10M	9.33B	2.39	1.65	-	-	100000	Yes	Yes	3.40	-	22.54	-	0.34	1.23	1.77	-	0.80	1.40	2.02	1.75	9.33%	-0.19	0.13	-0.02	-63.90%	-11.20%	27.20%	7.50%	13.70%	1.40%	-	5.97%	1.70%	0.00%	5.90%	-2.20%	-12.80%	9.80%	18.20%	3.70%	-2.40%	-	974.27M	723.54M	1.81%	3.40	3.35	2.30 - 5.21	-43.76%	27.39%	56.87	0.72	3.86M	14.45%	-4.56%	-23.30%	-26.01%	-41.28%	-28.36%	1.78	0.15	5.55% 5.45%	2.89	3.35
CDMO	17.53	18.1	-	1.11B	127.70M	119.60M	2.83	2.05	-	-	321	Yes	Yes	2.00	12.37	59.34	0.82	9.31	6.40	8.82	-	2.00	2.40	0.81	0.81	24.10%	1.46	0.30	0.04	216.70%	15.00%	86.70%	15.70%	13.00%	1.90%	Jun 29 AMC	32.24%	0.20%	-29.45%	-	38.80%	156.20%	41.20%	30.60%	12.90%	-	0.00%	61.75M	61.01M	9.73%	8.95	26.67	11.30 - 34.51	-47.55%	60.18%	72.21	0.80	663.28K	18.61%	25.69%	-5.43%	-22.35%	-32.01%	-37.97%	2.13	0.96	6.81% 6.49%	18.00	26.67
FUBO	2.77	2.82	-	527.51M	-453.50M	760.60M	4.43	2.41	-	-	530	Yes	Yes	2.40	-	-	-	0.69	0.64	1.17	-	1.60	1.60	0.57	0.56	2.29%	-3.07	-2.34	-0.70	78.30%	-	-	398.20%	102.20%	-51.10%	May 05 AMC	-11.60%	1.50%	-3.72%	37.50%	-35.40%	-69.90%	-35.50%	-	-56.50%	-59.60%	-	187.06M	145.67M	29.50%	3.22	8.53	2.32 - 35.10	-91.97%	21.66%	47.44	0.56	13.33M	14.17%	-14.29%	-54.59%	-80.08%	-90.25%	-81.83%	3.73	0.27	11.77% 9.16%	2.85	8.53
NAK	0.28	0.28	-	144.46M	-20.40M	-	0.22	0.03	-	-	-	Yes	Yes	-	-	-	-	-	1.26	10.47	-	9.50	9.50	0.00	0.00	0.60%	-0.04	-	-	55.10%	-	11.20%	-	-	54.80%	-	-7.62%	37.40%	0.00%	17.90%	-16.30%	-16.80%	-	-	-	-	-	529.78M	518.48M	2.58%	6.39	-	0.25 - 0.62	-55.72%	10.52%	47.96	0.68	2.09M	6.02%	-10.70%	-31.98%	-16.27%	-39.93%	-15.30%	0.87	0.02	5.51% 5.62%	0.28	-
CHAA	9.88	9.82	-	369.43M	17.10M	-	7.63	0.02	-	-	-	No	Yes	-	21.54	-	-	-	1.29	527.75	-	1.30	1.30	0.00	0.00	0.04%	0.46	-	-	-	-	-	-	-	423.10%	-	0.11%	-	-	91.40%	5.70%	6.10%	-	-	-	-	0.00%	37.50M	30.00M	0.01%	0.02	-	9.59 - 9.90	-0.81%	2.40%	52.84	0.06	89.03K	0.00%	0.20%	0.72%	0.72%	1.03%	0.51%	-	0.02	0.18% 0.16%	9.85	-
AMRN	1.55	1.62	-	623.30M	-22.20M	535.60M	1.61	0.94	-	-	560	Yes	Yes	3.00	-	-	-	1.16	1.01	1.72	-	1.70	2.60	0.00	0.00	-7.98%	-0.06	-0.17	-0.06	140.70%	38.90%	15.40%	35.00%	-33.50%	-	May 04 BMO	-6.54%	0.30%	5.00%	34.80%	-2.20%	-3.40%	1.00%	78.50%	-3.10%	-4.10%	-	397.81M	381.31M	5.91%	4.65	3.57	1.11 - 5.97	-72.86%	45.95%	45.08	0.24	4.85M	8.72%	-10.50%	-56.10%	-50.31%	-62.76%	-51.93%	2.03	0.16	12.22% 9.58%	1.57	3.57
ENB	42.13	42.19	-	84.73B	4.51B	38.59B	20.84	0.16	2.64	6.25%	10900	Yes	Yes	2.30	18.97	13.30	1.90	2.20	2.02	265.95	-	0.60	0.70	1.40	1.29	-0.97%	2.22	3.17	0.53	94.60%	10.00%	8.20%	6.40%	24.40%	1.10%	Jul 29 BMO	-3.96%	9.20%	0.00%	70.50%	3.50%	10.80%	4.90%	37.50%	15.20%	11.70%	151.10%	2.03B	2.02B	0.92%	4.64	46.15	36.21 - 47.67	-11.50%	16.53%	44.80	0.54	4.02M	-0.17%	-11.24%	-9.35%	7.19%	5.90%	7.96%	0.79	1.04	2.39% 2.36%	42.00	46.15
NEA	12.32	12.32	-	3.68B	 Fund Stock Quote	269.32M	15.97	-	0.63	5.11%	-	No	Yes	-	5.98	-	-	13.68	0.77	-	-	-	-	-	-	4.28%	2.06	-	-	-	-	-	-	-0.30%	-92.80%	-	2.49%	-	-	21.78%	-	-	-	-	-	-	-	299.04M	-	-	0.23	-	11.23 - 16.00	-23.00%	9.76%	61.72	0.69	1.08M	4.85%	-2.61%	-4.12%	-18.79%	-22.27%	-21.03%	-	0.20	1.70% 1.57%	12.35	-
ACV	20.55	20.68	-	214.31M	 & Convertible Fund Stock Quote	-	-	-	7.71	37.28%	-	No	Yes	3.00	-	-	-	-	-	-	-	-	-	-	-	4.13%	-	-	-	-	3.20%	-3.05%	-	-	-	-	-1.35%	0.04%	15.37%	26.45%	-	-	-	-	-	-	-	10.36M	-	-	0.28	-	18.47 - 36.63	-43.54%	11.96%	53.90	0.33	43.26K	5.94%	-5.66%	-16.11%	-32.31%	-29.71%	-35.88%	-	0.63	3.26% 3.17%	20.71	-
DEO	170.65	171.76	-	95.72B	3.20B	15.31B	15.80	3.98	3.96	2.30%	27783	Yes	Yes	1.40	31.49	-	2.54	6.25	10.87	43.14	69.18	-	-	1.81	1.66	-1.78%	5.46	-	-	89.50%	12.40%	4.90%	4.00%	10.50%	24.40%	-	-6.40%	0.70%	0.00%	9.70%	-	-	12.90%	60.40%	-	-	-	582.75M	567.78M	0.14%	1.78	208.58	166.24 - 223.14	-23.02%	3.32%	40.02	1.11	442.91K	-1.36%	-8.16%	-18.93%	-21.70%	-9.16%	-21.98%	0.65	3.84	1.57% 1.58%	171.61	208.58
BKU	35.69	35.33	-	2.89B	377.70M	950.00M	34.15	10.84	1.00	2.83%	1465	Yes	No	2.80	8.29	8.81	0.86	3.05	1.03	3.26	-	-	-	0.25	0.25	-2.45%	4.26	4.01	0.89	119.60%	9.64%	16.70%	-2.00%	-3.80%	-25.60%	Jul 21 BMO	-7.90%	0.30%	-3.20%	-	1.10%	12.40%	22.00%	-	88.40%	39.80%	16.20%	83.77M	81.13M	5.09%	4.46	43.00	34.30 - 46.75	-24.43%	3.00%	38.73	0.42	924.34K	-0.67%	-14.99%	-17.28%	-19.69%	-12.87%	-16.50%	1.24	1.11	2.44% 2.86%	35.38	43.00
SCHL	34.69	34.09	-	1.19B	36.10M	1.53B	34.21	8.83	0.60	1.76%	6800	Yes	Yes	-	34.57	-	3.80	0.78	1.00	3.86	7.74	1.00	1.50	0.01	0.00	-3.65%	0.99	-	-	74.70%	9.10%	-17.70%	-4.90%	24.10%	-9.10%	-	-5.63%	0.10%	0.00%	89.60%	1.80%	3.10%	-1.10%	51.70%	2.70%	2.40%	57.60%	34.60M	29.03M	2.21%	5.51	-	32.21 - 43.71	-22.01%	5.84%	35.39	0.53	116.41K	-5.23%	-7.29%	-13.89%	-16.77%	-6.93%	-14.69%	0.74	0.95	3.18% 2.44%	34.66	-
SNDA	21.29	21.6	-	143.86M	54.80M	231.60M	-9.90	7.30	-	-	2441	No	Yes	4.00	0.61	-	0.06	0.62	-	2.96	-	0.70	0.70	-	-	-5.76%	35.46	-11.26	-4.84	127.90%	10.30%	36.60%	-12.10%	-5.00%	-114.90%	May 23 BMO	-16.03%	7.30%	0.00%	71.50%	7.90%	-48.30%	25.00%	-	47.80%	23.60%	0.00%	6.34M	5.50M	0.44%	2.49	20.00	19.71 - 58.49	-63.07%	9.59%	40.55	1.43	9.81K	2.86%	-20.30%	-32.92%	-24.21%	-62.36%	-24.18%	1.88	1.59	5.65% 7.38%	21.30	20.00
HCSG	17.78	17.75	-	1.32B	32.50M	1.66B	6.01	1.89	0.85	4.79%	39200	Yes	Yes	3.00	40.80	20.74	4.53	0.79	2.95	9.40	-	2.90	3.00	0.02	0.00	5.08%	0.43	0.86	0.13	-53.60%	9.00%	-10.30%	1.00%	4.70%	-53.50%	Apr 20 BMO	4.19%	0.40%	0.00%	-	4.20%	7.00%	8.40%	12.60%	2.40%	2.00%	192.30%	74.33M	73.50M	11.96%	10.56	19.42	14.75 - 31.76	-44.11%	20.34%	59.69	0.28	832.23K	1.95%	0.74%	0.11%	-2.31%	-42.59%	-0.22%	0.33	0.58	2.88% 3.52%	17.78	19.42
NBW	11.65	11.67	-	64.78M	-	5.16M	15.60	-	0.54	4.63%	-	No	Yes	-	5.56	-	-	12.56	0.75	-	-	-	-	-	-	4.69%	2.10	-	-	-	-	-	-	-24.40%	-98.40%	-	2.60%	-	-	30.22%	-	-	-	-	-	-	-	5.55M	-	-	0.28	-	10.69 - 14.99	-22.15%	9.17%	65.93	1.24	14.84K	4.20%	0.95%	-2.75%	-16.28%	-20.77%	-16.64%	-	0.22	1.29% 2.16%	11.56	-
PHM	43.14	44.2	S&P 500	10.36B	2.08B	14.38B	30.16	4.89	0.60	1.36%	6182	Yes	Yes	2.20	5.40	4.19	0.59	0.72	1.47	9.04	-	-	-	0.33	0.27	9.20%	8.19	10.55	2.63	43.50%	9.20%	33.50%	12.70%	16.80%	59.80%	Jul 26 BMO	4.83%	0.50%	-1.27%	92.80%	-	-	19.20%	27.70%	-	-	-	245.80M	236.06M	3.89%	3.08	53.38	35.03 - 58.09	-23.91%	26.17%	60.96	0.78	2.98M	11.53%	-2.43%	8.47%	-21.23%	-16.14%	-22.67%	1.35	1.69	5.03% 4.40%	43.58	53.38
MSAC	9.78	9.78	-	113.64M	2.70M	-	7.54	0.11	-	-	-	No	Yes	-	41.97	-	-	-	1.30	87.42	-	11.30	11.30	0.00	0.00	-0.04%	0.23	-	-	-	-	-	-	-	24.60%	-	-0.20%	-	-	-	2.90%	3.20%	-	-	-	-	0.00%	11.62M	9.38M	0.00%	0.01	-	9.58 - 9.85	-0.71%	2.09%	46.07	0.03	24.49K	-0.10%	0.10%	0.20%	0.41%	-3.17%	0.62%	-	0.01	0.03% 0.09%	9.78	-
MTLS	13.79	14.45	-	842.15M	17.20M	216.20M	4.03	2.96	-	-	2332	Yes	Yes	2.30	48.82	67.21	-	3.90	3.59	4.89	35.09	2.30	2.40	0.40	0.31	5.32%	0.30	0.21	0.04	275.30%	-	41.30%	12.40%	16.20%	103.40%	Apr 28 BMO	-1.70%	2.37%	0.00%	30.00%	4.10%	7.50%	3.50%	57.50%	5.60%	8.00%	0.00%	59.06M	8.89M	8.29%	2.78	21.90	12.44 - 27.55	-47.55%	16.16%	52.18	0.55	265.39K	6.09%	-1.23%	-23.38%	-32.60%	-38.06%	-39.46%	0.74	0.99	8.58% 6.48%	14.26	21.90
BGCP	3.68	3.76	-	1.39B	107.30M	1.95B	1.83	1.38	0.04	1.06%	3920	Yes	Yes	2.30	15.10	4.43	1.04	0.71	2.05	2.73	-	-	-	1.58	1.56	11.87%	0.25	0.85	0.16	172.00%	14.50%	76.60%	5.30%	-10.80%	-39.60%	Aug 03 BMO	12.68%	7.45%	0.00%	66.30%	-	-	-6.90%	98.80%	-	-	-	368.32M	304.47M	2.30%	3.20	7.75	3.00 - 5.86	-35.84%	25.33%	67.31	0.90	2.19M	11.57%	17.13%	-7.16%	-17.00%	-31.01%	-19.14%	1.66	0.16	5.20% 4.93%	3.71	7.75
SNOW	155.44	159.68	-	50.60B	-642.50M	1.41B	17.36	12.04	-	-	3992	Yes	Yes	2.10	-	401.21	-	35.81	9.20	13.26	197.88	3.20	3.20	0.00	0.00	18.03%	-2.10	0.40	-0.02	-20.90%	-	-	-	84.50%	24.40%	May 25 AMC	11.62%	0.20%	-54.29%	68.70%	-9.90%	-12.60%	-14.20%	64.00%	-49.40%	-45.50%	-	314.36M	287.86M	4.84%	1.78	199.71	110.26 - 405.00	-60.57%	44.81%	61.93	0.80	7.82M	14.83%	21.65%	-24.71%	-46.21%	-36.20%	-52.86%	-	9.46	7.03% 6.33%	159.07	199.71
PUMP	9.34	9.17	-	959.00M	-22.00M	995.70M	8.17	0.68	-	-	1500	Yes	Yes	2.10	-	5.53	-	0.96	1.12	13.55	-	1.40	1.50	0.00	0.00	-17.10%	-0.22	1.66	0.23	50.30%	-10.90%	4.40%	14.90%	75.00%	155.90%	Aug 02 AMC	-25.40%	0.60%	-35.60%	84.70%	-2.00%	-2.60%	-6.60%	26.10%	-3.40%	-2.20%	-	103.68M	80.25M	7.19%	3.97	17.43	6.39 - 16.92	-45.82%	43.51%	33.47	0.74	1.45M	-8.30%	-34.17%	-33.41%	1.21%	5.52%	13.21%	2.52	0.73	8.54% 6.67%	9.20	17.43
ULCC	10.31	10.75	-	2.25B	-134.00M	2.39B	1.88	3.47	-	-	5502	Yes	Yes	2.00	-	8.06	-	0.94	5.72	3.10	33.15	0.60	0.60	0.86	0.51	9.93%	-0.62	1.33	0.05	53.90%	-	-	-	123.20%	-22.10%	Apr 28 AMC	10.09%	0.80%	-0.42%	98.38%	-3.20%	-26.00%	-7.90%	48.80%	-7.40%	-5.60%	-	217.26M	214.49M	7.24%	5.55	17.00	8.19 - 17.50	-38.57%	31.26%	58.40	0.63	2.80M	14.73%	3.07%	1.32%	-21.99%	-31.09%	-20.78%	-	0.65	6.75% 6.53%	10.36	17.00
